ID,Company _Account,Type,Salutation,First Name,Last Name,Phone,Mobile,Email,Street,Post Code
,Globe Tanning,Beauty ,,Arzen,[not provided],,07728 332 782,,,
,British Heart Foundation,Charity,,Alex,Paranan,01633 252 425,,n34@bhf.org.uk,,
,St David's Foundation Hospice Care,Medical,,Carol,& Kelly,01633 222 853,,enquiries@stdavidshospicecare.org,,
,Luggage bags and Leather,Retail,,Bimal,Kumar,,0797 140 4310,bimkum@sky.com,13 Commercial Street,
,Newport Market,Market,,Terry,[not provided],01633 240450,,property.services@newportnorse.co.uk,,
,Fragrance Shop,Beauty ,,Lorraine,Johnson,01633 264366,,306.newport@fsstores.com,Unit SU5 Kingsway Shopping Centre,NP19 1EB
,Warren James,Jewellers,,Anna,Samuel,01633 244 013,,,"Unit 4, Kingsway Shopping Centre",NP19 1EB
,Greggs,Food,,Ceri,Fife,01633 660 444,,cez_84@hotmail.com,31 High Street,NP19 1GH
,Neon,Events,,,[not provided],01633 533 666,,,Clarence Place,NP19 7AB
,Newport Grill,Food,,Meylut,Merg,01633 246 663,,,197 Upper Dock Street,NP20 1DA
,River Island,Retail,,Amanda,Pretsell,01633 221 398,,newport@river-island.com,Unit 4 Friars Walk,NP20 1DB
,Newport Credit Union,Money,,,[not provided],01633 214913,,info@newportcreditunion.co.uk,"Indoor Market, Upper Dock Street",NP20 1DD
,A.D. Turner & Sons,Logistics,,Mike,[not provided],01633 256538,,,The Provision Market,NP20 1DD
,Carousel,Logistics,,Laurence,[Not Provided],01633 259 461,,,14 Upper Dock Street,NP20 1DF
,Citizen Advice Bureau,Public Services,,D,Foley,01633 212 680,,dan.foley@newportcab.org.uk,182 Upper Dock Street,NP20 1DG
,Yummies,Food,,,[not provided],01633 222 308,07854 856634,,185 Upper Dock Street,NP20 1DG
,Eschaal Fish Shop,Food,,M,Asif,01633 213 611,,ahmedji143@yahoo.co.uk,184 Upper Dock Street,NP20 1DG
,Windsor Castle,Food,,Ali,[not provided],01633 546166,,,18-19 Upper Dock Street,NP20 1DH
,The Potters,Pub,,Caroline,[not provided],01633 223 311,,info@potterspub.co.uk,22-24 Upper Dock Street,NP20 1DL
,Olive Tree,Food,,Cherie,Garwood,,07969 184 165,,22-24 Upper Dock Street,NP20 1DL
,TGI Friday,Food,,Tiff,Messer,0344 264 6054,,newportfriarswalk@tgifridays.co.uk,61 Friars Walk Mall,NP20 1DQ
,Chiquito,Food,,Nikko,Zach,01633 256 120,,newportplaza@chiquito.co.uk,"Friars Walk Shopping Centre, Usk Way",NP20 1DQ
,Schuh,Food,,Emma,Marshall,01633 841 000,,branch109@schuh.co.uk,Unit 43-45 Friars Walk,NP20 1DR
,TopShop/Topman,Retail,,Rae,Taylor,01633 251 145,,ts1324@arcadiagroup.co.uk,33-35 Friars Walk,NP20 1DR
,JD Sports Fashion PLC,Retail,,David,Baugh,01633 749 381,,david.baugh@sky.com,"21-23 Friars Walk Shopping Centre, John Frost Square",NP20 1DR
,Costa (In Next),Food,,Ryan,Salter,01633 843 972,,wallingtons@yahoo.co.uk,"Next unit Msu01, 49-51 Friars Walk Shopping Centre, John Frost Square",NP20 1DR
,Mothercare,Retail,,Rachel,Thomas,01633 251 328,,store.667@mothercare.com,"25-29 Friars Walk Shopping Centre, John Frost Square",NP20 1DR
,New Look Mens,Retail,,Craig,Grimstead,01633 245 870,,mensnewstores@newlook.com,"Unit 9, Friars Walk Shopping Centre",NP20 1DR
,Jeffries Jewellers,Jewellers,,Scott,Jefferies,01633 254 735,,cljefferies23@gmail.com,13-15 Friars Walk Shopping Centre,NP20 1DR
,Cineworld,Entertainment,,Kerrie,Hanbury,01633 749 480,,newportfriarswalk@cineworld.co.uk,"Friars Walk Shopping Centre, Usk Way",NP20 1DS
,Zizzi,Food,,Frantisek,Suruik,01633 211 033,,newport@zizzi.co.uk,"Unit R1B, Friars Walk Shopping Centre",NP20 1DS
,Nandos,Food,,Nick,Horvie,01633 215 205,,,"73 Friars Walk Shopping Centre, Usk Way",NP20 1DS
,Frankie & Bennys,Food,,Emma,Donovan,01633 252 635,,newportfriarswalk@frankieandbennys.co.uk,"Friars Walk Shopping Centre, Usk Way",NP20 1DS
,Prezzo,Food,,Vitor,Marote,01633 256 217,,prezzo3653@prezzo.co.uk,"65 Friars Walk Shopping Centre, Usk Way",NP20 1DS
,Chiquitos,Food,,Harley,Gonzales,01633 256 120,,newportplaza@chiquito.co.uk,"63 Friars Walk Shopping Centre,Usk Plaza",NP20 1DS
,GBK,Food,,Josh,Kersey,01633 744 309,,newport@gbk.co.uk,"Unit R10, 67 Friars Walk Shopping Centre, Usk Plaza",NP20 1DS
